1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
920,866,0,None,3,1Fam,TA,Mn,486,0,GLQ,Unf,1,0,Gd,434,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,608,2,TA,RFn,TA,Attchd,2001,1786,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250,Inside,68,IR1,0,60,RL,162,BrkFace,None,0,9,CollgCr,42,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,920,AllPub,0,2001,2002,2008
1145,1053,0,None,4,1Fam,TA,Av,655,0,GLQ,Unf,1,0,Gd,490,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,836,3,TA,RFn,TA,Attchd,2000,2198,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14260,FR2,84,IR1,0,60,RL,350,BrkFace,None,0,12,NoRidge,84,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1145,AllPub,192,2000,2000,2008
796,566,320,None,1,1Fam,TA,No,732,0,GLQ,Unf,1,0,Gd,64,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,MnPrv,None,0,Wood,1,Typ,480,2,TA,Unf,TA,Attchd,1993,1362,1,GasA,Ex,1.5Fin,1,TA,Lvl,Gtl,14115,Inside,85,IR1,0,50,RL,0,None,Shed,700,10,Mitchel,30,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,796,AllPub,40,1993,1995,2009
1694,0,0,None,3,1Fam,TA,Av,1369,0,GLQ,Unf,1,0,Ex,317,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,636,2,TA,RFn,TA,Attchd,2004,1694,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10084,Inside,75,Reg,0,20,RL,186,Stone,None,0,8,Somerst,57,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1686,AllPub,255,2004,2005,2007
1107,983,0,None,3,1Fam,TA,Mn,859,32,ALQ,BLQ,1,0,Gd,216,Y,PosN,Norm,SBrkr,228,TA,TA,HdBoard,HdBoard,None,TA,2,CBlock,2,Typ,484,2,TA,RFn,TA,Attchd,1973,2090,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,10382,Corner,101.8920998,IR1,0,60,RL,240,Stone,Shed,350,11,NWAmes,204,6,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1107,AllPub,235,1973,1973,2009
1040,0,0,None,3,1Fam,TA,No,906,0,Rec,Unf,1,0,TA,134,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,None,None,0,CBlock,1,Typ,384,1,TA,Unf,TA,Detchd,1965,1040,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11200,Inside,70,Reg,0,20,RL,0,None,None,0,2,Sawyer,0,5,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1040,AllPub,0,1965,1965,2008
1494,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1494,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,840,3,TA,RFn,TA,Attchd,2006,1494,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10652,Inside,91,IR1,0,20,RL,306,Stone,None,0,8,CollgCr,33,5,7,Y,0,None,CompShg,Gable,Partial,New,0,Pave,7,1494,AllPub,160,2006,2007,2007
854,0,0,None,2,1Fam,None,None,0,0,None,None,0,0,None,832,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,None,0,BrkTil,1,Typ,576,2,TA,Unf,TA,Detchd,1991,854,0,GasA,Ex,1.5Unf,1,TA,Lvl,Gtl,6120,Corner,51,Reg,0,45,RM,0,None,None,0,7,BrkSide,112,8,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,832,AllPub,48,1929,2001,2007
1004,0,0,None,2,1Fam,TA,No,578,0,ALQ,Unf,1,0,TA,426,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,480,2,TA,Fin,TA,Attchd,1970,1004,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11241,CulDSac,59.91111111,IR1,0,20,RL,180,BrkFace,Shed,700,3,NAmes,0,7,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1004,AllPub,0,1970,1970,2010
1158,1218,0,None,4,1Fam,None,None,0,0,None,None,0,0,None,1158,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,853,3,TA,RFn,TA,BuiltIn,2005,2376,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14215,Corner,101,IR1,0,60,RL,380,BrkFace,None,0,11,NridgHt,154,5,8,Y,0,None,CompShg,Gable,Partial,New,0,Pave,9,1158,AllPub,240,2005,2006,2006
1108,0,0,Grvl,3,1Fam,None,None,0,0,None,None,0,0,None,637,Y,Norm,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,280,1,TA,Unf,TA,Attchd,1930,1108,0,GasA,Ex,1.5Unf,1,Gd,Bnk,Gtl,7449,Inside,57,Reg,0,45,RM,0,None,None,0,6,IDOTRR,0,7,7,N,0,None,CompShg,Gable,Normal,WD,0,Pave,6,637,AllPub,0,1930,1950,2007
1060,0,0,None,3,1Fam,TA,Mn,188,668,Rec,ALQ,1,0,TA,204,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,270,1,TA,Unf,TA,Attchd,1968,1060,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,8246,Inside,90.80748868,IR1,0,20,RL,0,None,None,0,5,Sawyer,90,8,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1060,AllPub,406,1968,2001,2010
1600,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1566,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,890,3,TA,RFn,TA,Attchd,2007,1600,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14230,Corner,110,Reg,0,20,RL,640,Stone,None,0,7,NridgHt,56,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1566,AllPub,0,2007,2007,2009
900,0,0,None,3,1Fam,TA,Mn,234,486,BLQ,Rec,0,1,TA,180,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,None,None,0,CBlock,1,Typ,576,2,TA,Unf,TA,Detchd,2005,900,0,GasA,TA,1Story,1,Gd,Lvl,Gtl,7200,Corner,60,Reg,0,20,RL,0,None,None,0,5,NAmes,32,7,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,900,AllPub,222,1951,2000,2010
1704,0,0,None,3,1Fam,TA,No,1218,0,GLQ,Unf,1,0,Ex,486,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,772,3,TA,RFn,TA,Attchd,2008,1704,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11478,Inside,98,Reg,0,20,RL,200,Stone,None,0,5,NridgHt,50,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1704,AllPub,0,2007,2008,2010
1600,0,0,None,2,1Fam,TA,Gd,1277,0,BLQ,Unf,1,0,TA,207,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,None,Gd,2,CBlock,1,Typ,319,1,TA,RFn,TA,Attchd,1957,1600,0,GasA,TA,1Story,1,TA,Lvl,Gtl,16321,CulDSac,47,IR1,0,20,RL,0,None,None,0,12,NAmes,258,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1484,AllPub,288,1957,1997,2006
520,0,0,None,1,1Fam,None,None,0,0,None,None,0,0,None,520,N,Feedr,RRNn,SBrkr,87,TA,TA,MetalSd,MetalSd,None,None,0,BrkTil,1,Typ,240,1,TA,Unf,Fa,Detchd,1920,520,0,GasA,Fa,1Story,1,Fa,Lvl,Gtl,6324,Inside,60,IR1,0,30,RM,0,None,None,0,5,BrkSide,0,6,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,4,520,AllPub,49,1927,1950,2008
649,668,0,Pave,3,1Fam,None,None,0,0,None,None,0,0,None,649,N,Feedr,Norm,SBrkr,172,Fa,TA,BrkFace,BrkFace,MnPrv,None,0,BrkTil,1,Typ,250,1,Fa,Unf,TA,Detchd,1920,1317,0,GasA,TA,2Story,1,TA,Lvl,Gtl,8500,Inside,50,Reg,0,70,C (all),0,None,None,0,7,IDOTRR,54,4,4,N,0,None,CompShg,Gambrel,Normal,WD,0,Pave,6,649,AllPub,0,1920,1950,2008
1228,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1228,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,271,1,TA,Unf,TA,Attchd,1966,1228,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,8544,CulDSac,59.91111111,IR1,0,20,RL,0,None,None,0,6,Sawyer,65,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1228,AllPub,0,1966,2006,2008
1234,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1234,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,484,2,TA,RFn,TA,Attchd,2007,1234,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11049,Corner,85,Reg,0,20,RL,0,None,None,0,1,CollgCr,30,5,8,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1234,AllPub,0,2007,2007,2008
1700,0,0,None,4,1Fam,TA,No,1018,0,Rec,Unf,0,1,TA,380,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,None,Gd,1,CBlock,1,Typ,447,2,TA,RFn,TA,Attchd,1959,1700,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10552,Inside,70,IR1,0,20,RL,0,None,None,0,4,NAmes,38,5,5,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1398,AllPub,0,1959,1959,2010
1561,0,0,None,2,TwnhsE,TA,No,1153,0,GLQ,Unf,1,0,Ex,408,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,556,2,TA,Fin,TA,Attchd,2005,1561,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7313,Inside,60,Reg,0,120,RL,246,BrkFace,None,0,8,NridgHt,47,5,9,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1561,AllPub,203,2005,2005,2007
1097,0,0,None,3,1Fam,None,None,0,0,None,None,0,0,None,1097,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,672,2,TA,Unf,TA,Attchd,1995,1097,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,10859,Corner,112,Reg,0,20,RL,0,None,None,0,6,CollgCr,64,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1097,AllPub,392,1994,1995,2009
