fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
