1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
856,854,0,None,3,1Fam,TA,No,706,0,GLQ,Unf,1,0,Gd,150,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,548,2,TA,RFn,TA,Attchd,2003,1710,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8450,Inside,65,Reg,0,60,RL,196,BrkFace,None,0,2,CollgCr,61,5,7,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,8,856,AllPub,0,2003,2003,2008
1262,0,0,None,3,1Fam,TA,Gd,978,0,ALQ,Unf,0,1,Gd,284,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,None,TA,1,CBlock,2,Typ,460,2,TA,RFn,TA,Attchd,1976,1262,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,9600,FR2,80,Reg,0,20,RL,0,None,None,0,5,Veenker,0,8,6,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1262,AllPub,298,1976,1976,2007
961,756,0,None,3,1Fam,Gd,No,216,0,ALQ,Unf,1,0,TA,540,Y,Norm,Norm,SBrkr,272,TA,TA,Wd Sdng,Wd Shng,None,Gd,1,BrkTil,1,Typ,642,3,TA,Unf,TA,Detchd,1998,1717,0,GasA,Gd,2Story,1,Gd,Lvl,Gtl,9550,Corner,60,IR1,0,70,RL,0,None,None,0,2,Crawfor,35,5,7,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,7,756,AllPub,0,1915,1970,2006
1022,752,0,None,2,1Fam,None,None,0,0,None,None,0,0,None,952,Y,Artery,Norm,FuseF,205,TA,TA,BrkFace,Wd Shng,None,TA,2,BrkTil,2,Min1,468,2,TA,Unf,Fa,Detchd,1931,1774,0,GasA,Gd,1.5Fin,2,TA,Lvl,Gtl,6120,Inside,51,Reg,0,50,RM,0,None,None,0,4,OldTown,0,5,7,Y,0,None,CompShg,Gable,Abnorml,WD,0,Pave,8,952,AllPub,90,1931,1950,2008
1077,0,0,None,2,2fmCon,TA,No,851,0,GLQ,Unf,1,0,TA,140,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,None,TA,2,BrkTil,1,Typ,205,1,TA,RFn,Gd,Attchd,1939,1077,0,GasA,Ex,1.5Unf,2,TA,Lvl,Gtl,7420,Corner,50,Reg,0,190,RL,0,None,None,0,1,BrkSide,4,6,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,5,991,AllPub,0,1939,1950,2008
1182,1142,0,None,4,1Fam,TA,No,998,0,GLQ,Unf,1,0,Ex,177,Y,Norm,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,None,Gd,2,PConc,3,Typ,736,3,TA,Fin,TA,BuiltIn,2005,2324,0,GasA,Ex,2Story,1,Ex,Lvl,Gtl,11924,Inside,85,IR1,0,60,RL,286,Stone,None,0,7,NridgHt,21,5,9,Y,0,None,CompShg,Hip,Partial,New,0,Pave,11,1175,AllPub,147,2005,2006,2006
912,0,0,None,2,1Fam,TA,No,737,0,ALQ,Unf,1,0,TA,175,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,None,None,0,CBlock,1,Typ,352,1,TA,Unf,TA,Detchd,1962,912,0,GasA,TA,1Story,1,TA,Lvl,Gtl,12968,Inside,113.8771268,IR2,0,20,RL,0,None,None,0,9,Sawyer,0,6,5,Y,0,None,CompShg,Hip,Normal,WD,176,Pave,4,912,AllPub,140,1962,1962,2008
1253,0,0,None,2,1Fam,TA,No,733,0,BLQ,Unf,1,0,TA,520,Y,Norm,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,352,1,TA,RFn,TA,Attchd,1960,1253,1,GasA,TA,1Story,1,TA,Lvl,Gtl,10920,Corner,104.4988038,IR1,0,20,RL,212,BrkFace,None,0,5,NAmes,213,5,6,Y,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1253,AllPub,0,1960,1960,2008
1296,0,0,None,2,Duplex,None,None,0,0,None,None,0,0,None,0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,None,None,0,Slab,2,Typ,516,2,TA,Unf,TA,CarPort,1967,1296,0,GasA,TA,1Story,2,TA,Lvl,Gtl,10791,Inside,72,Reg,0,90,RL,0,None,Shed,500,10,Sawyer,0,5,4,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,0,AllPub,0,1967,1967,2006
1114,0,0,None,3,1Fam,TA,No,646,0,GLQ,Unf,1,0,TA,468,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,576,2,TA,Unf,TA,Detchd,2004,1114,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13695,Inside,66,Reg,0,20,RL,0,None,None,0,6,SawyerW,102,5,5,Y,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1114,AllPub,0,2004,2004,2008
